´point_spawn_player_001´ ElementPlayerSpawner 100325
	position 51.2563, 776.256, -350
	spawn_action none
	team default
	voice 0
´ai_spawn_enemy_011´ ElementSpawnEnemyDummy 101661
	accessibility any
	amount 0
	enemy units/payday2/characters/ene_swat_1/ene_swat_1
	force_pickup none
	interval 5
	orientation_elements
	participate_to_group_ai True
	position 1300, -1800, 450
	rotation 0, 0, 0.707107, -0.707107
	spawn_action none
	team default
	voice 0
´ai_spawn_enemy_013´ ElementSpawnEnemyDummy 101726
	TRIGGER TIMES 1
	accessibility any
	amount 0
	enemy units/payday2/characters/ene_sniper_2/ene_sniper_2
	force_pickup none
	interval 5
	orientation_elements
	participate_to_group_ai False
	position 3625, 25, 850
	rotation 0, 0, 0, -1
	spawn_action none
	team default
	voice 0
	on_executed
		´point_special_objective_005´ (delay 0)
´ai_spawn_enemy_014´ ElementSpawnEnemyDummy 101727
	TRIGGER TIMES 1
	accessibility any
	amount 0
	enemy units/payday2/characters/ene_swat_1/ene_swat_1
	force_pickup none
	interval 5
	orientation_elements
	participate_to_group_ai False
	position 3800, 25, 850
	rotation 0, 0, 0, -1
	spawn_action none
	team default
	voice 0
	on_executed
		´point_special_objective_006´ (delay 0)
´ai_spawn_enemy_015´ ElementSpawnEnemyDummy 101728
	TRIGGER TIMES 1
	accessibility any
	amount 0
	enemy units/payday2/characters/ene_sniper_2/ene_sniper_2
	force_pickup none
	interval 5
	orientation_elements
	participate_to_group_ai False
	position 3975, 25, 850
	rotation 0, 0, 0, -1
	spawn_action none
	team default
	voice 0
	on_executed
		´point_special_objective_007´ (delay 0)
´ai_spawn_enemy_021´ ElementSpawnEnemyDummy 101743
	accessibility any
	amount 0
	enemy units/payday2/characters/ene_swat_1/ene_swat_1
	force_pickup none
	interval 5
	orientation_elements
	participate_to_group_ai True
	position -1500, 3885, 450
	rotation 0, 0, 1, -1.19209E-07
	spawn_action none
	team default
	voice 0
´ai_spawn_enemy_022´ ElementSpawnEnemyDummy 101744
	accessibility any
	amount 0
	enemy units/payday2/characters/ene_swat_1/ene_swat_1
	force_pickup none
	interval 5
	orientation_elements
	participate_to_group_ai True
	position -1350, 3885, 450
	rotation 0, 0, 1, -1.19209E-07
	spawn_action none
	team default
	voice 0
´ai_spawn_enemy_023´ ElementSpawnEnemyDummy 101745
	accessibility any
	amount 0
	enemy units/payday2/characters/ene_swat_1/ene_swat_1
	force_pickup none
	interval 5
	orientation_elements
	participate_to_group_ai True
	position -1500, 4035, 450
	rotation 0, 0, 1, -1.19209E-07
	spawn_action none
	team default
	voice 0
´ai_spawn_enemy_024´ ElementSpawnEnemyDummy 101746
	accessibility any
	amount 0
	enemy units/payday2/characters/ene_swat_1/ene_swat_1
	force_pickup none
	interval 5
	orientation_elements
	participate_to_group_ai True
	position -1350, 4035, 450
	rotation 0, 0, 1, -1.19209E-07
	spawn_action none
	team default
	voice 0
´ai_spawn_enemy_026´ ElementSpawnEnemyDummy 101748
	accessibility any
	amount 0
	enemy units/payday2/characters/ene_swat_1/ene_swat_1
	force_pickup none
	interval 5
	orientation_elements
	participate_to_group_ai True
	position -1350, 4185, 450
	rotation 0, 0, 1, -1.19209E-07
	spawn_action none
	team default
	voice 0
´ai_spawn_enemy_027´ ElementSpawnEnemyDummy 101912
	accessibility any
	amount 0
	enemy units/payday2/characters/ene_swat_1/ene_swat_1
	force_pickup none
	interval 5
	orientation_elements
	participate_to_group_ai True
	position 1125, -175, 50
	rotation 0, 0, -0.707107, -0.707107
	spawn_action none
	team default
	voice 0
	on_executed
		´point_special_objective_009´ (delay 0)
´ai_spawn_enemy_028´ ElementSpawnEnemyDummy 101913
	accessibility any
	amount 0
	enemy units/payday2/characters/ene_swat_1/ene_swat_1
	force_pickup none
	interval 5
	orientation_elements
	participate_to_group_ai True
	position 1125, -375, 50
	rotation 0, 0, -0.707107, -0.707107
	spawn_action none
	team default
	voice 0
	on_executed
		´point_special_objective_009´ (delay 0)
´ai_spawn_enemy_029´ ElementSpawnEnemyDummy 101914
	accessibility any
	amount 0
	enemy units/payday2/characters/ene_swat_1/ene_swat_1
	force_pickup none
	interval 5
	orientation_elements
	participate_to_group_ai True
	position 1125, -575, 50
	rotation 0, 0, -0.707107, -0.707107
	spawn_action none
	team default
	voice 0
	on_executed
		´point_special_objective_009´ (delay 0)
´ai_spawn_enemy_030´ ElementSpawnEnemyDummy 101915
	accessibility any
	amount 0
	enemy units/payday2/characters/ene_swat_1/ene_swat_1
	force_pickup none
	interval 5
	orientation_elements
	participate_to_group_ai True
	position 875, -575, 50
	rotation 0, 0, -0.707107, -0.707107
	spawn_action none
	team default
	voice 0
	on_executed
		´point_special_objective_009´ (delay 0)
´ai_spawn_enemy_031´ ElementSpawnEnemyDummy 101916
	accessibility any
	amount 0
	enemy units/payday2/characters/ene_swat_1/ene_swat_1
	force_pickup none
	interval 5
	orientation_elements
	participate_to_group_ai True
	position 875, -375, 50
	rotation 0, 0, -0.707107, -0.707107
	spawn_action none
	team default
	voice 0
	on_executed
		´point_special_objective_009´ (delay 0)
´ai_spawn_enemy_032´ ElementSpawnEnemyDummy 101917
	accessibility any
	amount 0
	enemy units/payday2/characters/ene_swat_1/ene_swat_1
	force_pickup none
	interval 5
	orientation_elements
	participate_to_group_ai True
	position 875, -175, 50
	rotation 0, 0, -0.707107, -0.707107
	spawn_action none
	team default
	voice 0
	on_executed
		´point_special_objective_009´ (delay 0)
´ai_spawn_enemy_033´ ElementSpawnEnemyDummy 101918
	accessibility any
	amount 0
	enemy units/payday2/characters/ene_swat_1/ene_swat_1
	force_pickup none
	interval 5
	orientation_elements
	participate_to_group_ai True
	position -165, 2049, 50
	rotation 0, 0, 0.707107, -0.707107
	spawn_action none
	team default
	voice 0
	on_executed
		´point_special_objective_010´ (delay 0)
´ai_spawn_enemy_034´ ElementSpawnEnemyDummy 101919
	accessibility any
	amount 0
	enemy units/payday2/characters/ene_swat_1/ene_swat_1
	force_pickup none
	interval 5
	orientation_elements
	participate_to_group_ai True
	position 123, 2367, 50
	rotation 0, 0, 0.707107, -0.707107
	spawn_action none
	team default
	voice 0
	on_executed
		´point_special_objective_010´ (delay 0)
´ai_spawn_enemy_035´ ElementSpawnEnemyDummy 101920
	accessibility any
	amount 0
	enemy units/payday2/characters/ene_swat_1/ene_swat_1
	force_pickup none
	interval 5
	orientation_elements
	participate_to_group_ai True
	position 50, 2900, 50
	rotation 0, 0, 0.707107, -0.707107
	spawn_action none
	team default
	voice 0
	on_executed
		´point_special_objective_010´ (delay 0)
´ai_spawn_enemy_036´ ElementSpawnEnemyDummy 101921
	accessibility any
	amount 0
	enemy units/payday2/characters/ene_swat_1/ene_swat_1
	force_pickup none
	interval 5
	orientation_elements
	participate_to_group_ai True
	position 1750, 2500, 50
	rotation 0, 0, 0.707107, -0.707107
	spawn_action none
	team default
	voice 0
	on_executed
		´point_special_objective_010´ (delay 0)
´ai_enemy_group_002´ ElementSpawnEnemyGroup 101923
	amount 0
	elements
 		1 ´ai_spawn_enemy_007´
		2 ´ai_spawn_enemy_011´
		3 ´ai_spawn_enemy_008´
		4 ´ai_spawn_enemy_010´
		5 ´ai_spawn_enemy_009´
	ignore_disabled False
	interval 0
	preferred_spawn_groups
		1 FBI_spoocs
		2 tac_shield_wall_charge
		3 tac_tazer_charge
		4 tac_tazer_flanking
		5 tac_shield_wall
		6 tac_swat_rifle_flank
		7 tac_shield_wall_ranged
		8 tac_bull_rush
	spawn_type random
	team default
´ai_enemy_group_003´ ElementSpawnEnemyGroup 101924
	amount 0
	elements
 		1 ´ai_spawn_enemy_001´
		2 ´ai_spawn_enemy_006´
		3 ´ai_spawn_enemy_002´
		4 ´ai_spawn_enemy_005´
		5 ´ai_spawn_enemy_003´
	ignore_disabled False
	interval 0
	preferred_spawn_groups
		1 FBI_spoocs
		2 tac_shield_wall_charge
		3 tac_tazer_charge
		4 tac_tazer_flanking
		5 tac_shield_wall
		6 tac_swat_rifle_flank
		7 tac_shield_wall_ranged
		8 tac_bull_rush
	spawn_type random
	team default
´ai_enemy_group_004´ ElementSpawnEnemyGroup 101925
	amount 0
	elements
 		1 ´ai_spawn_enemy_026´
		2 ´ai_spawn_enemy_024´
		3 ´ai_spawn_enemy_023´
		4 ´ai_spawn_enemy_022´
		5 ´ai_spawn_enemy_021´
	ignore_disabled False
	interval 0
	preferred_spawn_groups
		1 FBI_spoocs
		2 tac_shield_wall_charge
		3 tac_tazer_charge
		4 tac_tazer_flanking
		5 tac_shield_wall
		6 tac_swat_rifle_flank
		7 tac_shield_wall_ranged
		8 tac_bull_rush
	spawn_type random
	team default
´OnLevelLoaded´ MissionScriptElement 101931
	EXECUTE ON STARTUP
	on_executed
		´Setup_PlayerSpawns´ (delay 0)
		´func_spawn_gage_assignment_001´ (delay 0)
´StartArea´ ElementAreaTrigger 101932
	TRIGGER TIMES 1
	amount 1
	depth 2005,34
	height 500
	instigator player
	instigator_name 
	interval 0.1
	position -100, 1125, -100.02
	radius 250
	rotation 0, 0, 0, -1
	rules_element_ids
	shape_type box
	spawn_unit_elements
	trigger_on on_enter
	unit_ids
	use_disabled_shapes False
	use_shape_element_ids
	width 1416.1
	on_executed
		´OnPlayerSpawn´ (delay 0)
		´func_fake_assault_state_001´ (delay 0)
´OnPlayerSpawn´ MissionScriptElement 101933
	on_executed
		´StartFakeAssault´ (delay 0)
		´Setup_Prefered´ (delay 0)
		´logic_link_001´ (delay 10)
		´ai_global_event_002´ (delay 0)
		´ai_global_event_001´ (delay 0)
´ai_global_event_002´ ElementAiGlobalEvent 101934
	AI_event police_weapons_hot
	blame empty
	position -631, 2021, 1875
	rotation 0, 0, 0.707107, -0.707107
	wave_mode none
´SpawnInitialPolice´ MissionScriptElement 101935
	on_executed
		´InitialGroup01´ (delay 0)
		´InitialGroup02´ (delay 0)
		´SpawnInitialCiv´ (delay 0)
´RandomAmount´ ElementRandom 101936
	amount 1
	amount_random 0
	ignore_disabled False
	on_executed
		´3´ (delay 0)
		´4´ (delay 0)
		´5´ (delay 0)
		´6´ (delay 0)
´3´ ElementRandom 101939
	amount 3
	amount_random 0
	ignore_disabled True
	on_executed
		´ai_spawn_enemy_034´ (delay 0)
		´ai_spawn_enemy_033´ (delay 0)
		´ai_spawn_enemy_035´ (delay 0)
		´ai_spawn_enemy_036´ (delay 0)
		´ai_spawn_enemy_038´ (delay 0)
		´ai_spawn_enemy_037´ (delay 0)
´4´ ElementRandom 101940
	amount 4
	amount_random 0
	ignore_disabled True
	on_executed
		´ai_spawn_enemy_038´ (delay 0)
		´ai_spawn_enemy_037´ (delay 0)
		´ai_spawn_enemy_035´ (delay 0)
		´ai_spawn_enemy_034´ (delay 0)
		´ai_spawn_enemy_033´ (delay 0)
		´ai_spawn_enemy_036´ (delay 0)
´5´ ElementRandom 101941
	amount 5
	amount_random 0
	ignore_disabled True
	on_executed
		´ai_spawn_enemy_033´ (delay 0)
		´ai_spawn_enemy_036´ (delay 0)
		´ai_spawn_enemy_034´ (delay 0)
		´ai_spawn_enemy_035´ (delay 0)
		´ai_spawn_enemy_037´ (delay 0)
		´ai_spawn_enemy_038´ (delay 0)
´6´ ElementRandom 101942
	amount 6
	amount_random 0
	ignore_disabled True
	on_executed
		´ai_spawn_enemy_033´ (delay 0)
		´ai_spawn_enemy_036´ (delay 0)
		´ai_spawn_enemy_035´ (delay 0)
		´ai_spawn_enemy_034´ (delay 0)
		´ai_spawn_enemy_038´ (delay 0)
		´ai_spawn_enemy_037´ (delay 0)
´InitialGroup01´ MissionScriptElement 101937
	on_executed
		´RandomAmount´ (delay 0)
´InitialGroup02´ MissionScriptElement 101938
	on_executed
		´RandomAmount_2´ (delay 0)
´RandomAmount_2´ ElementRandom 101943
	amount 1
	amount_random 0
	ignore_disabled False
	on_executed
		´3_2´ (delay 0)
		´4_2´ (delay 0)
		´5_2´ (delay 0)
		´6_2´ (delay 0)
´3_2´ ElementRandom 101944
	amount 3
	amount_random 0
	ignore_disabled True
	on_executed
		´ai_spawn_enemy_027´ (delay 0)
		´ai_spawn_enemy_032´ (delay 0)
		´ai_spawn_enemy_028´ (delay 0)
		´ai_spawn_enemy_031´ (delay 0)
		´ai_spawn_enemy_029´ (delay 0)
		´ai_spawn_enemy_030´ (delay 0)
´4_2´ ElementRandom 101945
	amount 4
	amount_random 0
	ignore_disabled True
	on_executed
		´ai_spawn_enemy_027´ (delay 0)
		´ai_spawn_enemy_032´ (delay 0)
		´ai_spawn_enemy_028´ (delay 0)
		´ai_spawn_enemy_031´ (delay 0)
		´ai_spawn_enemy_029´ (delay 0)
		´ai_spawn_enemy_030´ (delay 0)
´5_2´ ElementRandom 101946
	amount 5
	amount_random 0
	ignore_disabled True
	on_executed
		´ai_spawn_enemy_029´ (delay 0)
		´ai_spawn_enemy_030´ (delay 0)
		´ai_spawn_enemy_031´ (delay 0)
		´ai_spawn_enemy_028´ (delay 0)
		´ai_spawn_enemy_027´ (delay 0)
		´ai_spawn_enemy_032´ (delay 0)
´6_2´ ElementRandom 101947
	amount 6
	amount_random 0
	ignore_disabled True
	on_executed
		´ai_spawn_enemy_027´ (delay 0)
		´ai_spawn_enemy_032´ (delay 0)
		´ai_spawn_enemy_028´ (delay 0)
		´ai_spawn_enemy_031´ (delay 0)
		´ai_spawn_enemy_029´ (delay 0)
		´ai_spawn_enemy_030´ (delay 0)
´ai_spawn_enemy_037´ ElementSpawnEnemyDummy 101948
	accessibility any
	amount 0
	enemy units/payday2/characters/ene_swat_1/ene_swat_1
	force_pickup none
	interval 5
	orientation_elements
	participate_to_group_ai True
	position 975, 2100, 50
	rotation 0, 0, 0.707107, -0.707107
	spawn_action none
	team default
	voice 0
	on_executed
		´point_special_objective_010´ (delay 0)
´ai_spawn_enemy_038´ ElementSpawnEnemyDummy 101949
	accessibility any
	amount 0
	enemy units/payday2/characters/ene_swat_1/ene_swat_1
	force_pickup none
	interval 5
	orientation_elements
	participate_to_group_ai True
	position 1000, 2350, 50
	rotation 0, 0, 0.707107, -0.707107
	spawn_action none
	team default
	voice 0
	on_executed
		´point_special_objective_010´ (delay 0)
´SpawnInitialCiv´ MissionScriptElement 101950
	on_executed
		´InitialGroup01_2´ (delay 0)
		´InitialGroup02_2´ (delay 0)
		´InitialGroup03´ (delay 0)
´InitialGroup01_2´ MissionScriptElement 101951
	on_executed
		´logic_random_001´ (delay 0)
´InitialGroup02_2´ MissionScriptElement 101952
	on_executed
		´logic_random_002´ (delay 0)
´InitialGroup03´ MissionScriptElement 101953
	on_executed
		´logic_random_003´ (delay 0)
´logic_random_001´ ElementRandom 101954
	amount 1
	amount_random 0
	ignore_disabled False
	on_executed
		´0_3´ (delay 0)
		´4_4´ (delay 0)
		´6_4´ (delay 0)
´logic_random_002´ ElementRandom 101955
	amount 1
	amount_random 0
	ignore_disabled False
	on_executed
		´0_2´ (delay 0)
		´3_3´ (delay 0)
		´6_3´ (delay 0)
		´8´ (delay 0)
´ai_spawn_civilian_001´ ElementSpawnCivilian 101957
	enemy units/payday2/characters/civ_female_casual_3/civ_female_casual_3
	force_pickup none
	orientation_elements
	position 550.001, 1600, 68
	rotation 0, 0, 1, -4.76837E-07
	state cf_sp_window_observer
	team default
´ai_spawn_civilian_002´ ElementSpawnCivilian 101958
	enemy units/payday2/characters/civ_male_casual_2/civ_male_casual_2
	force_pickup none
	orientation_elements
	position 1252, 2511, 50
	rotation 0, 0, -0.382683, -0.92388
	state cm_sp_phone2
	team default
´ai_spawn_civilian_003´ ElementSpawnCivilian 101959
	enemy units/payday2/characters/civ_male_casual_5/civ_male_casual_5
	force_pickup none
	orientation_elements
	position 407.247, 2482.25, 50
	rotation 0, 0, 0.92388, 0.382683
	state cm_sp_standing_talk1
	team default
´ai_spawn_civilian_004´ ElementSpawnCivilian 101960
	enemy units/payday2/characters/civ_female_casual_2/civ_female_casual_2
	force_pickup none
	orientation_elements
	position -2, 2471, 50
	rotation 0, 0, 0.382683, -0.92388
	state cf_sp_stand_talk_upset
	team default
´ai_spawn_civilian_005´ ElementSpawnCivilian 101961
	enemy units/payday2/characters/civ_female_casual_2/civ_female_casual_2
	force_pickup none
	orientation_elements
	position -1607.33, 1481.39, 50
	rotation 0, 0, 0.382683, -0.92388
	state cf_sp_stand_talk_calm
	team default
´ai_spawn_civilian_006´ ElementSpawnCivilian 101962
	enemy units/payday2/characters/civ_male_casual_3/civ_male_casual_3
	force_pickup none
	orientation_elements
	position -1231, 802, 50
	rotation 0, 0, -0.518742, -0.854931
	state cm_sp_lean_desk_1_2m_01
	team default
´ai_spawn_civilian_007´ ElementSpawnCivilian 101963
	enemy units/payday2/characters/civ_female_casual_3/civ_female_casual_3
	force_pickup none
	orientation_elements
	position -1525, 1568, 50
	rotation 0, 0, 0.92388, 0.382683
	state cf_sp_stand_talk_normal
	team default
´ai_spawn_civilian_008´ ElementSpawnCivilian 101964
	enemy units/payday2/characters/civ_male_casual_2/civ_male_casual_2
	force_pickup none
	orientation_elements
	position -250, 645, 68
	rotation 0, 0, 0, -1
	state cm_sp_window_observer
	team default
´ai_spawn_civilian_009´ ElementSpawnCivilian 101965
	enemy units/payday2/characters/civ_male_casual_1/civ_male_casual_1
	force_pickup none
	orientation_elements
	position 207, -591, 50
	rotation 0, 0, 0.90319, -0.429242
	state cm_sp_phone2
	team default
´ai_spawn_civilian_010´ ElementSpawnCivilian 101966
	enemy units/payday2/characters/civ_female_casual_5/civ_female_casual_5
	force_pickup none
	orientation_elements
	position 1141, 347, 65
	rotation 0, 0, -0.214167, -0.976797
	state cf_sp_stand_arms crossed
	team default
´herpderp´ ElementSpawnCivilian 101967
	enemy units/payday2/characters/civ_female_casual_1/civ_female_casual_1
	force_pickup none
	orientation_elements
	position 1933, 1084, -350
	rotation 0, 0, 0.91004, 0.41452
	state cf_sp_stand_talk_upset
	team default
´scumbag´ ElementSpawnCivilian 101968
	enemy units/payday2/characters/civ_male_casual_1/civ_male_casual_1
	force_pickup none
	orientation_elements
	position 2573, 1061, -350
	rotation 0, 0, -0.707107, -0.707107
	state cm_sp_phone1
	team default
´derpherp´ ElementSpawnCivilian 101969
	enemy units/payday2/characters/civ_male_casual_6/civ_male_casual_6
	force_pickup none
	orientation_elements
	position 1381.48, 734.712, -350
	rotation 0, 0, 0.455064, -0.890459
	state cm_sp_talking_upset
	team default
´meatbag´ ElementSpawnCivilian 101970
	enemy units/payday2/characters/civ_female_casual_2/civ_female_casual_2
	force_pickup none
	orientation_elements
	position 725, 1225, -350
	rotation 0, 0, -0.707107, -0.707107
	state cf_sp_stand_look_up
	team default
´ai_spawn_civilian_015´ ElementSpawnCivilian 101971
	enemy units/payday2/characters/civ_male_casual_6/civ_male_casual_6
	force_pickup none
	orientation_elements
	position -366, 552, 469
	rotation 0, 0, 0, -1
	state cm_sp_phone2
	team default
´ai_spawn_civilian_016´ ElementSpawnCivilian 101972
	enemy units/payday2/characters/civ_female_casual_2/civ_female_casual_2
	force_pickup none
	orientation_elements
	position -89, 337, 450
	rotation 0, 0, 0, -1
	state cf_sp_window_observer
	team default
´ai_spawn_civilian_017´ ElementSpawnCivilian 101973
	enemy units/payday2/characters/civ_male_casual_3/civ_male_casual_3
	force_pickup none
	orientation_elements
	position 743, -95, 450
	rotation 0, 0, 0.92388, 0.382683
	state cm_sp_phone1
	team default
´ai_spawn_civilian_018´ ElementSpawnCivilian 101974
	enemy units/payday2/characters/civ_male_casual_4/civ_male_casual_4
	force_pickup none
	orientation_elements
	position 2551, -1251, 469
	rotation 0, 0, -0.707107, -0.707107
	state cm_sp_sit_legs_crossed
	team default
´ai_spawn_civilian_019´ ElementSpawnCivilian 101975
	enemy units/payday2/characters/civ_female_casual_3/civ_female_casual_3
	force_pickup none
	orientation_elements
	position 1009, -961, 450
	rotation 0, 0, 0.382683, -0.92388
	state cf_sp_sms_phone_var1
	team default
´ai_spawn_civilian_020´ ElementSpawnCivilian 101976
	enemy units/payday2/characters/civ_male_casual_5/civ_male_casual_5
	force_pickup none
	orientation_elements
	position 993, 1601, 470
	rotation 0, 0, 1, 1.19209E-07
	state cm_sp_window_observer
	team default
´ai_spawn_civilian_021´ ElementSpawnCivilian 101977
	enemy units/payday2/characters/civ_female_casual_1/civ_female_casual_1
	force_pickup none
	orientation_elements
	position -625, 1425, 450
	rotation 0, 0, 0.787974, -0.615708
	state cf_sp_window_observer
	team default
´ai_spawn_civilian_022´ ElementSpawnCivilian 101978
	enemy units/payday2/characters/civ_male_casual_1/civ_male_casual_1
	force_pickup none
	orientation_elements
	position -900, 2400, 469
	rotation 0, 0, 0.92388, -0.382683
	state cm_sp_smoking_left1
	team default
´7´ ElementSpawnCivilianGroup 102006
	amount 7
	elements
 		1 ´ai_spawn_civilian_021´
		2 ´ai_spawn_civilian_022´
		3 ´ai_spawn_civilian_020´
		4 ´ai_spawn_civilian_018´
		5 ´ai_spawn_civilian_017´
		6 ´ai_spawn_civilian_019´
		7 ´ai_spawn_civilian_016´
		8 ´ai_spawn_civilian_015´
	ignore_disabled False
	position -200, 1225, 1866.08
	random True
	rotation 0, 0, 5.96046E-08, -1
	team default
´4_3´ ElementSpawnCivilianGroup 102007
	amount 4
	elements
 		1 ´ai_spawn_civilian_021´
		2 ´ai_spawn_civilian_022´
		3 ´ai_spawn_civilian_020´
		4 ´ai_spawn_civilian_017´
		5 ´ai_spawn_civilian_016´
		6 ´ai_spawn_civilian_018´
		7 ´ai_spawn_civilian_019´
		8 ´ai_spawn_civilian_015´
	ignore_disabled False
	position -225, 1225, 1866.08
	random True
	rotation 0, 0, 5.96046E-08, -1
	team default
´0´ ElementSpawnCivilianGroup 102008
	amount 0
	ignore_disabled False
	position -250, 1225, 1866.08
	random False
	rotation 0, 0, 5.96046E-08, -1
	team default
´logic_random_003´ ElementRandom 101956
	amount 1
	amount_random 0
	ignore_disabled False
	on_executed
		´0´ (delay 0)
		´4_3´ (delay 0)
		´7´ (delay 0)
´0_2´ ElementSpawnCivilianGroup 101979
	amount 0
	ignore_disabled False
	position -250, 1275, 1866.08
	random False
	rotation 0, 0, 5.96046E-08, -1
	team default
´0_3´ ElementSpawnCivilianGroup 101980
	amount 0
	ignore_disabled False
	position -250, 1325, 1866.08
	random False
	rotation 0, 0, 5.96046E-08, -1
	team default
´4_4´ ElementSpawnCivilianGroup 101981
	amount 4
	elements
 		1 ´meatbag´
		2 ´scumbag´
		3 ´herpderp´
		4 ´derpherp´
		5 ´ai_spawn_civilian_011´
		6 ´ai_spawn_civilian_012´
		7 ´ai_spawn_civilian_013´
	ignore_disabled False
	position -225, 1325, 1866.08
	random True
	rotation 0, 0, 5.96046E-08, -1
	team default
´6_3´ ElementSpawnCivilianGroup 101982
	amount 6
	elements
 		1 ´ai_spawn_civilian_002´
		2 ´ai_spawn_civilian_003´
		3 ´ai_spawn_civilian_001´
		4 ´ai_spawn_civilian_004´
		5 ´ai_spawn_civilian_006´
		6 ´ai_spawn_civilian_005´
		7 ´ai_spawn_civilian_007´
		8 ´ai_spawn_civilian_009´
		9 ´ai_spawn_civilian_008´
		10 ´ai_spawn_civilian_010´
	ignore_disabled False
	position -200, 1275, 1866.08
	random True
	rotation 0, 0, 5.96046E-08, -1
	team default
´6_4´ ElementSpawnCivilianGroup 101983
	amount 6
	elements
 		1 ´meatbag´
		2 ´scumbag´
		3 ´herpderp´
		4 ´derpherp´
		5 ´ai_spawn_civilian_011´
		6 ´ai_spawn_civilian_013´
		7 ´ai_spawn_civilian_012´
	ignore_disabled True
	position -200, 1325, 1866.08
	random True
	rotation 0, 0, 5.96046E-08, -1
	team default
´8´ ElementSpawnCivilianGroup 101984
	amount 8
	elements
 		1 ´ai_spawn_civilian_002´
		2 ´ai_spawn_civilian_003´
		3 ´ai_spawn_civilian_001´
		4 ´ai_spawn_civilian_004´
		5 ´ai_spawn_civilian_006´
		6 ´ai_spawn_civilian_005´
		7 ´ai_spawn_civilian_007´
		8 ´ai_spawn_civilian_008´
		9 ´ai_spawn_civilian_009´
		10 ´ai_spawn_civilian_010´
	ignore_disabled False
	position -175, 1275, 1866.08
	random True
	rotation 0, 0, 5.96046E-08, -1
	team default
´3_3´ ElementSpawnCivilianGroup 101985
	amount 3
	elements
 		1 ´ai_spawn_civilian_002´
		2 ´ai_spawn_civilian_003´
		3 ´ai_spawn_civilian_001´
		4 ´ai_spawn_civilian_004´
		5 ´ai_spawn_civilian_005´
